,year,state,district,party,candidatevotes,race_id,clean_namehouse,FEC_ID,clean_namefec,similarity_score
4,2024,WY,0,REP,184680,WY0_2024,HARRIET HAGEMAN,H2WY00166,HARRIET HAGEMAN,1.0
5,2010,FL,9,REP,165433,FL9_2010,GUS BILIRAKIS,H6FL09070,GUS BILIRAKIS,1.0
6,2010,FL,8,REP,123586,FL8_2010,DANIEL WEBSTER,H0FL08208,DANIEL WEBSTER,1.0
9,2010,FL,7,REP,185470,FL7_2010,JOHN MICA,H2FL08055,JOHN MICA,1.0
10,2024,WI,6,DEM,159042,WI6_2024,JOHN ZARBANO,H4WI06139,JOHN ZARBANO,1.0
11,2024,WI,8,REP,240040,WI8_2024,TONY WIED,H4WI08119,TONY WIED,1.0
16,2024,WI,6,REP,251889,WI6_2024,GLENN GROTHMAN,H4WI06048,GLENN GROTHMAN,1.0
18,2024,WI,4,DEM,249938,WI4_2024,GWEN MOORE,H4WI04183,GWEN MOORE,1.0
19,2024,WI,7,DEM,156524,WI7_2024,KYLE KILBOURN,H4WI07129,KYLE KILBOURN,1.0
20,2024,WI,5,REP,300521,WI5_2024,SCOTT FITZGERALD,H0WI05113,SCOTT FITZGERALD,1.0
22,2024,WI,3,DEM,200808,WI3_2024,REBECCA COOKE,H2WI03130,REBECCA COOKE,1.0
23,2024,WI,2,DEM,320317,WI2_2024,MARK POCAN,H2WI02124,MARK POCAN,1.0
24,2024,WI,5,DEM,165653,WI5_2024,BEN STEINHOFF,H4WI05115,BEN STEINHOFF,1.0
28,2024,WI,1,DEM,172402,WI1_2024,PETER BARCA,H4WI01056,PETER BARCA,1.0
29,2024,WI,2,REP,136357,WI2_2024,ERIK OLSEN,H2WI02181,ERIK OLSEN,1.0
36,2024,WI,1,REP,212515,WI1_2024,BRYAN STEIL,H8WI01156,BRYAN STEIL,1.0
38,2024,WV,2,DEM,110775,WV2_2024,STEVEN WENDELIN,H4WV02247,STEVEN WENDELIN,1.0
41,2024,WV,2,REP,268190,WV2_2024,RILEY MOORE,H4WV02205,RILEY MOORE,1.0
48,2024,WV,1,REP,228491,WV1_2024,CAROL MILLER,H8WV03097,CAROL MILLER,1.0
50,2024,WV,1,IND,25616,WV1_2024,WES HOLDEN,H4WV01074,WES HOLDEN,1.0
51,2024,WA,10,REP,143492,WA10_2024,DON HEWETT,H0WA10067,DON HEWETT,1.0
52,2024,WA,10,DEM,203732,WA10_2024,MARILYN STRICKLAND,H0WA10034,MARILYN STRICKLAND,1.0
56,2024,WA,9,DEM,182780,WA9_2024,ADAM SMITH,H6WA09025,ADAM SMITH,1.0
57,2024,WA,8,DEM,224607,WA8_2024,KIM SCHRIER,H8WA08189,KIM SCHRIER,1.0
67,2024,WA,7,DEM,352286,WA7_2024,PRAMILA JAYAPAL,H6WA07458,PRAMILA JAYAPAL,1.0
69,2024,WA,6,DEM,239687,WA6_2024,EMILY RANDALL,H4WA06117,EMILY RANDALL,1.0
70,2024,WA,6,REP,182182,WA6_2024,DREW MACEWEN,H4WA06133,DREW MACEWEN,1.0
72,2024,WA,5,REP,240619,WA5_2024,MICHAEL BAUMGARTNER,H4WA05234,MICHAEL BAUMGARTNER,1.0
75,2024,WA,5,DEM,156074,WA5_2024,CARMELA CONROY,H4WA05168,CARMELA CONROY,1.0
78,2024,WA,4,REP,153477,WA4_2024,DAN NEWHOUSE,H4WA04104,DAN NEWHOUSE,1.0
80,2024,WA,2,DEM,263750,WA2_2024,RICK LARSEN,H0WA02080,RICK LARSEN,1.0
89,2024,WA,1,DEM,227213,WA1_2024,SUZAN DELBENE,H0WA08046,SUZAN DELBENE,1.0
101,2010,FL,8,DEM,84167,FL8_2010,ALAN GRAYSON,H6FL08213,ALAN GRAYSON,1.0
105,2024,VA,11,DEM,273529,VA11_2024,GERALD CONNOLLY,H8VA11062,GERALD CONNOLLY,1.0
107,2024,VA,10,DEM,215131,VA10_2024,SUHAS SUBRAMANYAM,H4VA10279,SUHAS SUBRAMANYAM,1.0
110,2024,VA,10,REP,196343,VA10_2024,MIKE CLANCY,H2VA11206,MIKE CLANCY,1.0
111,2010,FL,11,DEM,91328,FL11_2010,KATHY CASTOR,H6FL11126,KATHY CASTOR,1.0
114,2010,FL,11,REP,61817,FL11_2010,MIKE PRENDERGAST,H0FL11160,MIKE PRENDERGAST,1.0
115,2010,FL,10,REP,137943,FL10_2010,C YOUNG,H6FL06035,C YOUNG,1.0
118,2024,VA,9,DEM,109570,VA9_2024,KAREN BAKER,H4VA09057,KAREN BAKER,1.0
123,2024,VA,8,REP,94676,VA8_2024,JERRY TORRES,H4VA08414,JERRY TORRES,1.0
125,2010,FL,10,DEM,71313,FL10_2010,CHARLIE JUSTICE,H0FL10055,CHARLIE JUSTICE,1.0
126,2010,FL,12,REP,102704,FL12_2010,DENNIS ROSS,H0FL12101,DENNIS ROSS,1.0
127,2010,FL,12,DEM,87769,FL12_2010,LORI EDWARDS,H0FL12119,LORI EDWARDS,1.0
130,2024,VA,8,IND,3656,VA8_2024,BENTLEY HENSEL,H4VA08406,BENTLEY HENSEL,1.0
137,2024,VA,7,REP,192847,VA7_2024,DERRICK ANDERSON,H2VA07170,DERRICK ANDERSON,1.0
138,2024,VA,6,DEM,141612,VA6_2024,KEN MITCHELL,H4VA06061,KEN MITCHELL,1.0
143,2024,VA,5,DEM,184229,VA5_2024,GLORIA WITT,H4VA05089,GLORIA WITT,1.0
144,2024,VA,3,DEM,219926,VA3_2024,ROBERT SCOTT,H6VA01117,ROBERT SCOTT,1.0
146,2024,VA,4,DEM,252885,VA4_2024,JENNIFER MCCLELLAN,H4VA04066,JENNIFER MCCLELLAN,1.0
155,2024,VA,2,REP,207368,VA2_2024,JENNIFER KIGGANS,H2VA02064,JENNIFER KIGGANS,1.0
156,2024,VA,1,REP,269657,VA1_2024,ROBERT WITTMAN,H8VA01147,ROBERT WITTMAN,1.0
159,2024,VA,1,DEM,208445,VA1_2024,LESLIE MEHTA,H4VA01096,LESLIE MEHTA,1.0
160,2024,UT,4,REP,230627,UT4_2024,BURGESS OWENS,H0UT04076,BURGESS OWENS,1.0
161,2024,UT,4,DEM,109838,UT4_2024,KATRINA FALLICK-WANG,H4UT04060,KATRINA FALLICK-WANG,1.0
162,2024,UT,3,DEM,122780,UT3_2024,GLENN WRIGHT,H2UT03306,GLENN WRIGHT,1.0
163,2024,UT,3,REP,242496,UT3_2024,MIKE KENNEDY,H4UT03260,MIKE KENNEDY,1.0
166,2010,FL,6,REP,179349,FL6_2010,CLIFF STEARNS,H8FL06056,CLIFF STEARNS,1.0
167,2010,FL,7,DEM,83206,FL7_2010,HEATHER BEAVEN,H0FL07077,HEATHER BEAVEN,1.0
168,2024,UT,4,OTHER,17347,UT4_2024,VAUGHN COOK,H4UT04086,VAUGHN COOK,1.0
169,2024,UT,2,REP,205234,UT2_2024,CELESTE MALOY,H4UT02296,CELESTE MALOY,1.0
170,2024,UT,2,OTHER,7840,UT2_2024,TYLER MURSET,H4UT02395,TYLER MURSET,1.0
171,2024,UT,1,DEM,117319,UT1_2024,BILL CAMPBELL,H4UT01132,BILL CAMPBELL,1.0
172,2024,UT,1,REP,230975,UT1_2024,BLAKE MOORE,H0UT01205,BLAKE MOORE,1.0
175,2024,TX,37,DEM,252980,TX37_2024,LLOYD DOGGETT,H4TX10028,LLOYD DOGGETT,1.0
176,2024,TX,38,DEM,127640,TX38_2024,MELISSA MCDONOUGH,H4TX38011,MELISSA MCDONOUGH,1.0
177,2024,TX,38,REP,215030,TX38_2024,WESLEY HUNT,H0TX07170,WESLEY HUNT,1.0
179,2024,TX,36,REP,206009,TX36_2024,BRIAN BABIN,H6TX02079,BRIAN BABIN,1.0
180,2024,TX,36,DEM,91009,TX36_2024,DAYNA STEELE,H8TX36024,DAYNA STEELE,1.0
181,2024,TX,37,LIB,7511,TX37_2024,GIRISH ALTEKAR,H4TX07164,GIRISH ALTEKAR,1.0
184,2024,TX,34,DEM,102780,TX34_2024,VICENTE GONZALEZ,H6TX15162,VICENTE GONZALEZ,1.0
187,2024,TX,35,DEM,170509,TX35_2024,GREG CASAR,H2TX35144,GREG CASAR,1.0
188,2024,TX,35,REP,82610,TX35_2024,STEVEN WRIGHT,H4TX35025,STEVEN WRIGHT,1.0
189,2024,TX,34,REP,97603,TX34_2024,MAYRA FLORES,H2TX34113,MAYRA FLORES,1.0
193,2024,TX,33,DEM,114289,TX33_2024,MARC VEASEY,H2TX33073,MARC VEASEY,1.0
194,2024,TX,31,DEM,126470,TX31_2024,STUART WHITLOW,H4TX31081,STUART WHITLOW,1.0
195,2024,TX,32,REP,85941,TX32_2024,DARRELL DAY,H2TX32182,DARRELL DAY,1.0
198,2024,TX,31,REP,229087,TX31_2024,JOHN CARTER,H2TX31044,JOHN CARTER,1.0
205,2024,TX,32,DEM,140536,TX32_2024,JULIE JOHNSON,H4TX32089,JULIE JOHNSON,1.0
206,2024,TX,32,LIB,5987,TX32_2024,KEVIN HALE,H0TX05125,KEVIN HALE,1.0
207,2024,TX,29,DEM,99379,TX29_2024,SYLVIA GARCIA,H8TX29052,SYLVIA GARCIA,1.0
209,2010,FL,13,DEM,83123,FL13_2010,JAMES GOLDEN,H0FL13109,JAMES GOLDEN,1.0
210,2010,FL,5,REP,208815,FL5_2010,RICHARD NUGENT,H0FL05139,RICHARD NUGENT,1.0
211,2010,FL,4,REP,178238,FL4_2010,ANDER CRENSHAW,H0FL04066,ANDER CRENSHAW,1.0
214,2024,TX,30,LIB,35175,TX30_2024,JRMAR JEFFERSON,H2TX01146,JRMAR JEFFERSON,1.0
215,2024,TX,28,DEM,125280,TX28_2024,HENRY CUELLAR,H2TX23082,HENRY CUELLAR,1.0
217,2024,TX,30,DEM,197650,TX30_2024,JASMINE CROCKETT,H2TX30178,JASMINE CROCKETT,1.0
218,2024,TX,28,REP,112018,TX28_2024,JAY FURMAN,H4TX28129,JAY FURMAN,1.0
221,2024,TX,27,REP,183980,TX27_2024,MICHAEL CLOUD,H8TX27049,MICHAEL CLOUD,1.0
222,2024,TX,27,DEM,94596,TX27_2024,TANYA LLOYD,H4TX27089,TANYA LLOYD,1.0
223,2024,TX,26,REP,241096,TX26_2024,BRANDON GILL,H4TX26149,BRANDON GILL,1.0
224,2024,TX,25,REP,263042,TX25_2024,ROGER WILLIAMS,H2TX33040,ROGER WILLIAMS,1.0
228,2024,TX,24,DEM,149518,TX24_2024,SAM EPPLER,H2TX24197,SAM EPPLER,1.0
234,2024,TX,22,REP,209285,TX22_2024,TROY NEHLS,H0TX22302,TROY NEHLS,1.0
238,2024,TX,22,DEM,127604,TX22_2024,MARQUETTE GREENE-SCOTT,H4TX22197,MARQUETTE GREENE-SCOTT,1.0
240,2024,TX,21,REP,263744,TX21_2024,CHIP ROY,H8TX21307,CHIP ROY,1.0
241,2024,TX,21,DEM,153765,TX21_2024,KRISTIN HOOK,H4TX21108,KRISTIN HOOK,1.0
244,2024,TX,20,DEM,157890,TX20_2024,JOAQUIN CASTRO,H2TX35011,JOAQUIN CASTRO,1.0
245,2024,TX,21,LIB,8914,TX21_2024,BOB KING,H4TX21116,BOB KING,1.0
253,2024,TX,18,REP,66810,TX18_2024,LANA CENTONZE,H4TX18161,LANA CENTONZE,1.0
254,2024,TX,18,DEM,151834,TX18_2024,SYLVESTER TURNER,H4TX18237,SYLVESTER TURNER,1.0
