,year,state,district,party,candidatevotes,race_id,clean_namehouse,FEC_ID,clean_namefec,similarity_score
0,1986,NJ,4,DEM,49290,NJ4_1986,JEFFREY LAURENTI,H4NJ04013,JEFFREY LAURENTI,1.0
1,1996,MA,3,REP,115694,MA3_1996,PETER BLUTE,H2MA03034,PETER BLUTE,1.0
2,1996,MA,3,DEM,135044,MA3_1996,JAMES MCGOVERN,H4MA03022,JAMES MCGOVERN,1.0
3,1986,NJ,4,REP,78699,NJ4_1986,CHRISTOPHER SMITH,H8NJ04014,CHRISTOPHER SMITH,1.0
4,2024,WY,0,REP,184680,WY0_2024,HARRIET HAGEMAN,H2WY00166,HARRIET HAGEMAN,1.0
5,2010,FL,9,REP,165433,FL9_2010,GUS BILIRAKIS,H6FL09070,GUS BILIRAKIS,1.0
6,2010,FL,8,REP,123586,FL8_2010,DANIEL WEBSTER,H0FL08208,DANIEL WEBSTER,1.0
7,1980,CT,3,OTHER,2711,CT3_1980,JOELLE FISHMAN,H6CT03053,JOELLE FISHMAN,1.0
8,1980,CT,3,DEM,103903,CT3_1980,JOSEPH LIEBERMAN,H0CT03015,JOSEPH LIEBERMAN,1.0
9,2010,FL,7,REP,185470,FL7_2010,JOHN MICA,H2FL08055,JOHN MICA,1.0
10,2024,WI,6,DEM,159042,WI6_2024,JOHN ZARBANO,H4WI06139,JOHN ZARBANO,1.0
11,2024,WI,8,REP,240040,WI8_2024,TONY WIED,H4WI08119,TONY WIED,1.0
12,1996,MA,4,DEM,183844,MA4_1996,BARNEY FRANK,H0MA04036,BARNEY FRANK,1.0
13,1996,MA,4,REP,72701,MA4_1996,JONATHAN RAYMOND,H6MA14024,JONATHAN RAYMOND,1.0
14,1996,MA,5,DEM,183429,MA5_1996,MARTIN MEEHAN,H2MA05054,MARTIN MEEHAN,1.0
15,1984,CT,1,DEM,147748,CT1_1984,BARBARA KENNELLY,H2CT01015,BARBARA KENNELLY,1.0
16,2024,WI,6,REP,251889,WI6_2024,GLENN GROTHMAN,H4WI06048,GLENN GROTHMAN,1.0
17,1976,AL,1,REP,98257,AL1_1976,JACK EDWARDS,H6AL01011,JACK EDWARDS,1.0
18,2024,WI,4,DEM,249938,WI4_2024,GWEN MOORE,H4WI04183,GWEN MOORE,1.0
19,2024,WI,7,DEM,156524,WI7_2024,KYLE KILBOURN,H4WI07129,KYLE KILBOURN,1.0
20,2024,WI,5,REP,300521,WI5_2024,SCOTT FITZGERALD,H0WI05113,SCOTT FITZGERALD,1.0
21,1986,NJ,3,DEM,73743,NJ3_1986,JAMES HOWARD,H6NJ03028,JAMES HOWARD,1.0
22,2024,WI,3,DEM,200808,WI3_2024,REBECCA COOKE,H2WI03130,REBECCA COOKE,1.0
23,2024,WI,2,DEM,320317,WI2_2024,MARK POCAN,H2WI02124,MARK POCAN,1.0
24,2024,WI,5,DEM,165653,WI5_2024,BEN STEINHOFF,H4WI05115,BEN STEINHOFF,1.0
25,1986,NJ,5,DEM,40449,NJ5_1986,H JOLLEY,H6NJ05098,H JOLLEY,1.0
26,1986,NJ,5,REP,85949,NJ5_1986,MARGE ROUKEMA,H8NJ07017,MARGE ROUKEMA,1.0
27,1984,CT,1,REP,90823,CT1_1984,HERSCHEL KLEIN,H2CT01080,HERSCHEL KLEIN,1.0
28,2024,WI,1,DEM,172402,WI1_2024,PETER BARCA,H4WI01056,PETER BARCA,1.0
29,2024,WI,2,REP,136357,WI2_2024,ERIK OLSEN,H2WI02181,ERIK OLSEN,1.0
30,1984,CO,6,REP,171427,CO6_1984,DAN SCHAEFER,H2CO06081,DAN SCHAEFER,1.0
31,1976,AL,2,REP,90069,AL2_1976,WILLIAM DICKINSON,H6AL02050,WILLIAM DICKINSON,1.0
32,1996,MA,2,DEM,162995,MA2_1996,RICHARD NEAL,H8MA02041,RICHARD NEAL,1.0
